time	1	2	3	4
344.544			122	
344.544				559.25
344.544		223.75		
344.544	446.25			
344.577			122.75	
344.577			122	
344.577				560
344.577				560.25
344.577		222.5		
344.577	442.5			
344.608			123.75	
344.608				561
344.608		221.75		
344.608	438.25			
344.641			124	
344.641			124	
344.641				562
344.641		221.75		
344.641	435.25			
344.676			124.5	
344.676				562
344.676		222		
344.676	432.25			
344.704			124.5	
344.704				562
344.704		223.25		
344.704	430			
344.735			124.5	
344.735				562.25
344.735		224.75		
344.735	428.75			
344.768			124.25	
344.768				562
344.768		227		
344.768	428.25			
344.799			123.75	
344.799				561.75
344.799		229.75		
344.799	428.75			
344.83			123.75	
344.83				561.75
344.83		229.75		
344.83	428.75			
344.875			122.5	
344.875				560
344.875		235.75		
344.875	431.75			
344.9			122	
344.9				559
344.9		239.25		
344.9	434.25			
344.932			122	
344.932				559
344.932		239.25		
344.932	434.25			
344.966			119.75	
344.966			119.25	
344.966				557
344.966		245.25		
344.966	440.5			
344.999			118	
344.999			118	
344.999				555.75
344.999		247.75		
344.999	444			
345.029			118	
345.029			118	
345.029				555.75
345.029		247.75		
345.029	444			
345.059			116.75	
345.059			116.5	
345.059				554
345.059		250		
345.059	448			
345.091			115.5	
345.091				553
345.091				552.75
345.091		251.25		
345.091	451.5			
345.121			114	
345.121				551.25
345.121		252		
345.121	454.5			
345.157			112.5	
345.157				550
345.157		252.25		
345.157	457.75			
345.191			111.75	
345.191			111.75	
345.191				549
345.191				549
345.191		251.5		
345.191	459.75			
345.222			110.75	
345.222				547.75
345.222		250		
345.222	461.25			
345.258			109.5	
345.258			109.75	
345.258				546.75
345.258				547
345.258		247.75		
345.258	462.25			
345.301			108	
345.301				545.25
345.301				545.25
345.301		240.75		
345.301	461.25			
345.328			108	
345.328				545.25
345.328				545.25
345.328		240.75		
345.328	461.25			
345.358			107.75	
345.358				544.75
345.358		236.25		
345.358	459.5			
345.388			107	
345.388				544.25
345.388		232		
345.388	457.25			
345.426			106.75	
345.426				544
345.426		227		
345.426	453.75			
345.459			106.75	
345.459			107.25	
345.459				544
345.459		221.75		
345.459	449.75			
345.49			107	
345.49				544.25
345.49				544.25
345.49		216.75		
345.49	445.75			
345.52			107	
345.52				544
345.52		212		
345.52	441			
345.558			107.5	
345.558				544.5
345.558		207.25		
345.558	436			
345.584			108	
345.584				544.75
345.584				545
345.584		203.75		
345.584	431.5			
345.617			108	
345.617				544.75
345.617		200.75		
345.617	426.75			
345.659			107.75	
345.659				545
345.659		198.5		
345.659	422.25			
345.694			108	
345.694				545
345.694		197		
345.694	418.5			
345.728			107.75	
345.728				545.25
345.728				545.25
345.728		196.5		
345.728	415.5			
345.759			108	
345.759				545
345.759		197		
345.759	412.75			
345.792			107.5	
345.792				545
345.792		199		
345.792	411.5			
345.829			107.25	
345.829				544.25
345.829		201		
345.829	410.5			
345.859			106.5	
345.859				543.75
345.859		204.25		
345.859	410.75			
345.888			106.5	
345.888				543.25
345.888				543.25
345.888		208.25		
345.888	411.5			
345.927			105.5	
345.927				543
345.927				542.75
345.927		212.75		
345.927	413.25			
345.959			105.5	
345.959				542.5
345.959				542
345.959		217.25		
345.959	415.5			
345.992			104.75	
345.992				541.75
345.992		222.25		
345.992	418.75			
346.018			104.75	
346.018			104.5	
346.018				541.25
346.018				541
346.018		227.25		
346.018	422.25			
346.053			104	
346.053				541
346.053		231.5		
346.053	426.25			
346.09			103.75	
346.09				540.75
346.09				540.5
346.09		236.25		
346.09	430.25			
346.125			103.25	
346.125				540.25
346.125				540.25
346.125		239.25		
346.125	434.5			
346.155			102.75	
346.155				540
346.155		242.75		
346.155	438.75			
346.187			103.25	
346.187				540
346.187		245		
346.187	442.5			
346.216			103.25	
346.216			103.5	
346.216				540
346.216		246		
346.216	446.25			
346.25			103.75	
346.25			103.25	
346.25				540.75
346.25		246.5		
346.25	449			
346.283			103.5	
346.283				540.75
346.283				541
346.283		246.25		
346.283	451.75			
346.316			104.5	
346.316			104.75	
346.316				542
346.316				541.25
346.316		245		
346.316	453.75			
346.348			105.5	
346.348			105.25	
346.348				542.75
346.348		243		
346.348	454.75			
346.39			106.5	
346.39				543.75
346.39		240.5		
346.39	455.25			
346.411			107.5	
346.411				544.75
346.411		236.75		
346.411	455			
346.458			108.75	
346.458				546
346.458		233		
346.458	454.5			
346.492			110.5	
346.492				547.75
346.492				547.5
346.492		229.25		
346.492	452.75			
346.515			112	
346.515				549
