time	1	2	3	4
1465.39			125.5	
1465.39				547
1465.39		202.25		
1465.408			125.5	
1465.408				547
1465.408		202.25		
1465.431				547
1465.431			125.5	
1465.431	402.5			
1465.431		195.75		
1465.457			125	
1465.457				546.75
1465.457	396.25			
1465.457		190.75		
1465.481			125	
1465.481				546.75
1465.481	396.25			
1465.481		190.75		
1465.505			124.5	
1465.505				546.25
1465.505	392.5			
1465.505		187.5		
1465.527				546
1465.527			124	
1465.527	389.5			
1465.527		185.5		
1465.559				545.25
1465.559			123.25	
1465.559	388.75			
1465.559		185.5		
1465.582			122.25	
1465.582				544
1465.582	389.25			
1465.582		187		
1465.603			122.25	
1465.603				544
1465.603	389.25			
1465.603		187		
1465.625			121.25	
1465.625				542.75
1465.625	391.5			
1465.625		190		
1465.642			121.25	
1465.642				542.75
1465.642	391.5			
1465.642		190		
1465.663			120.25	
1465.663				541.75
1465.663	395			
1465.663		194.5		
1465.69				540
1465.69			118.5	
1465.69	399.75			
1465.69		200.25		
1465.716				540
1465.716			118.5	
1465.716	399.75			
1465.716		200.25		
1465.737				539
1465.737			117.5	
1465.737	406			
1465.737		207		
1465.763				537.5
1465.763			116	
1465.763		214.25		
1465.763	413			
1465.787			114.5	
1465.787				536
1465.787		222.25		
1465.813			114.5	
1465.813				536
1465.813		222.25		
1465.836			113.25	
1465.836				535
1465.857				534.25
1465.857			111.25	
1465.857		238		
1465.857	436			
1465.88				534.25
1465.88			111.25	
1465.88		238		
1465.88	436			
1465.902				532.75
1465.902			110.25	
1465.902		244.5		
1465.902	443.5			
1465.923			109	
1465.923				531.5
1465.923		251		
1465.923	450			
1465.944			109	
1465.944				531.5
1465.944		251		
1465.944	450			
1465.966			107.75	
1465.966				530.25
1465.966		256		
1465.966	456.25			
1465.988				529.25
1465.988			106.5	
1465.988		260.25		
1465.988	460.75			
1466.01				529.25
1466.01			106.5	
1466.01		260.25		
1466.01	460.75			
1466.035				528
1466.035			105.5	
1466.035		262.75		
1466.035	464.25			
1466.057			104.75	
1466.057				527
1466.057		264.25		
1466.057	465.75			
1466.082			104	
1466.082				526
1466.082		263.5		
1466.082	466			
1466.109			104	
1466.109				526
1466.109		263.5		
1466.109	466			
1466.133				525.5
1466.133			103.25	
1466.133		261.25		
1466.133	465			
1466.154				524.5
1466.154			102.25	
1466.154		258		
1466.154	462.25			
1466.183			101.75	
1466.183				524
1466.183		252.75		
1466.183	458.25			
1466.208			101.75	
1466.208				524
1466.208		252.75		
1466.208	458.25			
1466.231				523.5
1466.231			101	
1466.231	452.25			
1466.231		246.75		
1466.253			100.25	
1466.253				523
1466.253	445			
1466.253		238.75		
1466.276			100.25	
1466.276				523
1466.276	445			
1466.276		238.75		
1466.296			99.5	
1466.296				522.75
1466.296		230.75		
1466.321			99.25	
1466.321				522
1466.321	428.5			
1466.321		222		
1466.346			99.25	
1466.346				522
1466.346	428.5			
1466.346		222		
1466.371			98.5	
1466.371				522
1466.371		212.25		
1466.401			98.5	
1466.401				521.5
1466.401	410.75			
1466.401		202.25		
1466.428			98	
1466.428				521
1466.428	401.25			
1466.428		193.5		
1466.461			97.5	
1466.461				520.5
1466.461	393.25			
1466.461		185		
1466.484				520.25
1466.484			97.5	
1466.484	385			
1466.484		177.5		
1466.512				520.25
1466.512			97.5	
1466.512	385			
1466.512		177.5		
1466.535			96.75	
1466.535				519.5
1466.535	377.5			
1466.557			96.5	
1466.557				518.75
1466.557	371.75			
1466.585			96	
1466.585				518.25
1466.585	367.75			
1466.606			96	
1466.606				518.25
1466.606	367.75			
1466.623			95	
1466.623				517.75
1466.623	364.75			
1466.648			95	
1466.648				517.75
1466.648	364.75			
1466.67			94.25	
1466.67				517
1466.67	363.5			
1466.699			93.5	
1466.699				516
1466.699	364.25			
1466.722				515.5
1466.722			92	
1466.722	366			
1466.748				515.5
1466.748			92	
1466.748	366			
1466.772				514.5
1466.772			91.25	
1466.772	369.25			
1466.797			90.5	
1466.797				513.75
1466.797	374			
1466.797		172.75		
1466.823			89.5	
1466.823				513
1466.823	379.5			
1466.823		179.5		
1466.848			89.5	
1466.848				513
1466.848	379.5			
1466.848		179.5		
1466.873			88.25	
1466.873				512
1466.873		187		
1466.873	386.5			
1466.9				511.5
1466.9			87.75	
1466.9		194		
1466.9	393.75			
1466.924			87.25	
1466.924				510.5
1466.924		202.5		
1466.924	401.5			
1466.952			86.5	
1466.952				509.5
1466.952		210.75		
1466.952	409.75			
1466.974			86.5	
1466.974				509.5
1466.974		210.75		
1466.974	409.75			
1466.997			85.75	
1466.997				509
1466.997		217.75		
1466.997	417.25			
1467.026			85.25	
1467.026				508.5
1467.026		224.25		
1467.026	424.5			
1467.048			85.25	
1467.048				508.5
1467.048		224.25		
1467.048	424.5			
1467.076			84.5	
1467.076				507.5
1467.076		230.75		
1467.076	430.5			
1467.104			83.75	
1467.104				507
1467.104		235.75		
1467.104	436.25			
1467.125				507
1467.125			83.5	
1467.125		239.25		
1467.125	440.25			
1467.151			83	
1467.151				507
1467.151		241.5		
1467.151	443.5			
1467.173			83	
1467.173				507
1467.173		241.5		
1467.173	443.5			
1467.195			83	
1467.195				507
1467.195		242.25		
1467.195	444.75			
1467.219			83.25	
1467.219				507
1467.219		241.5		
1467.219	445			
1467.244			83.25	
1467.244				507
1467.244		241.5		
1467.244	445			
1467.27			83.75	
1467.27				507.5
1467.27		239		
1467.27	443.25			
1467.298			84.25	
1467.298				508
1467.298		235.75		
1467.298	440.75			
1467.322			84.75	
1467.322				508.5
1467.322		230.75		
1467.322	436.75			
1467.34			84.75	
1467.34				508.5
1467.34		230.75		
1467.34	436.75			
1467.363			85.75	
1467.363				509.25
1467.363		224.75		
1467.363	431.25			
1467.395				510
1467.395			86.5	
1467.395	425			
1467.395		218.5		
1467.415				510
1467.415			86.5	
1467.415	425			
1467.415		218.5		
1467.439			87.75	
1467.439				511
1467.439	418.25			
1467.439		210.75		
1467.462			88.5	
1467.462				511.75
1467.462		203.25		
1467.462	411.25			
1467.49			89.5	
1467.49				512.25
1467.49	403			
1467.49		195.75		
1467.508			89.5	
1467.508				512.25
1467.508	403			
1467.508		195.75		
1467.527				513.75
1467.527			90.5	
1467.527	396.5			
1467.527		188		
1467.553			91.5	
1467.553				514.5
1467.553		181.25		
1467.553	389.5			
1467.58			91.5	
1467.58				514.5
1467.58		181.25		
1467.58	389.5			
1467.603			92.5	
1467.603				515.75
1467.603	383			
1467.603		175		
1467.626			93.5	
1467.626				516.75
1467.626	377.5			
1467.65				518
1467.65			94.5	
1467.65	373.5			
1467.675				518
1467.675			94.5	
1467.675	373.5			
1467.697			95.5	
1467.697				519
1467.697	370.75			
1467.721			96.25	
1467.721				519.25
1467.721	369			
1467.745			96.25	
1467.745				519.25
1467.745	369			
