time	1	2	3	4
1783.603			100.75	
1783.603				539.25
1783.603	427.25			
1783.603		233.75		
1783.62			100.75	
1783.62				539.25
1783.62	427.25			
1783.62		233.75		
1783.645			100.25	
1783.645				539.5
1783.645		238.5		
1783.645	427.25			
1783.668			100.25	
1783.668				539.25
1783.668		242.75		
1783.668	427			
1783.698			100.25	
1783.698				539.25
1783.698		246		
1783.698	426.5			
1783.719			100.25	
1783.719				539.25
1783.719		246		
1783.719	426.5			
1783.74			100	
1783.74				539
1783.74		248.75		
1783.74	426.25			
1783.763			100	
1783.763				539
1783.763		248.75		
1783.763	426.25			
1783.791			100	
1783.791				539.25
1783.791		250.25		
1783.791	426			
1783.818			100.25	
1783.818				539.25
1783.818		251		
1783.818	425.25			
1783.839			100.25	
1783.839				539.25
1783.839		250.25		
1783.839	425			
1783.869			100.5	
1783.869				539.25
1783.869		248.75		
1783.869	424.25			
1783.89			100.5	
1783.89				539.25
1783.89		248.75		
1783.89	424.25			
1783.91			100.5	
1783.91				539.25
1783.91		246.25		
1783.91	424.25			
1783.933			101	
1783.933				539.75
1783.933		242.75		
1783.933	423.5			
1783.964			101.5	
1783.964				540
1783.964		238.75		
1783.964	423.5			
1783.989			101.5	
1783.989				540
1783.989		238.75		
1783.989	423.5			
1784.01			101.75	
1784.01				540.25
1784.01		234		
1784.01	423.25			
1784.037			101.75	
1784.037				540.25
1784.037		229		
1784.037	423			
1784.062			101.75	
1784.062				540.25
1784.062		229		
1784.062	423			
1784.085			102	
1784.085				540.75
1784.085	423.25			
1784.085		223.5		
1784.111			102.25	
1784.111				541.25
1784.111	423.25			
1784.111		218		
1784.133			102.75	
1784.133				541
1784.133	423.5			
1784.133		212.5		
1784.152			102.75	
1784.152				541
1784.152	423.5			
1784.152		212.5		
1784.176			102.75	
1784.176				541.25
1784.176	424.25			
1784.176		207.5		
1784.198			102.75	
1784.198				541.25
1784.198	424.5			
1784.198		203.25		
1784.223			102.75	
1784.223				541.25
1784.223	424.5			
1784.223		203.25		
1784.252			102.5	
1784.252				541.25
1784.252	425.25			
1784.252		199		
1784.275			102.5	
1784.275				541.25
1784.275	426.25			
1784.275		196		
1784.296			102.5	
1784.296				541.25
1784.296	426.25			
1784.296		196		
1784.316			102.5	
1784.316				541.25
1784.316	426.25			
1784.316		193.5		
1784.345			102.25	
1784.345				541
1784.345	427.25			
1784.345		192.5		
1784.369			102	
1784.369				540.75
1784.369	428			
1784.369		192.25		
1784.396			101.5	
1784.396				540.5
1784.396	428.25			
1784.396		193		
1784.419			101.5	
1784.419				540.5
1784.419	428.25			
1784.419		193		
1784.44			101	
1784.44				540
1784.44	428.75			
1784.44		194.75		
1784.463			101	
1784.463				540
1784.463	428.75			
1784.463		194.75		
1784.484			100.75	
1784.484				539.5
1784.484	429.25			
1784.484		197.25		
1784.507			100.75	
1784.507				539.25
1784.507	429.75			
1784.507		200.5		
1784.532			100	
1784.532				538.75
1784.532	429.75			
1784.532		204.5		
1784.557			100	
1784.557				538.75
1784.557	429.75			
1784.557		204.5		
1784.581			99.5	
1784.581				538.25
1784.581	429.75			
1784.581		209.25		
1784.607			99.25	
1784.607				538.25
1784.607	429.25			
1784.607		213.75		
1784.627			99.25	
1784.627				538.25
1784.627	429.25			
1784.627		213.75		
1784.648			99	
1784.648				537.5
1784.648	428.75			
1784.648		219.25		
1784.675			98.75	
1784.675				537.25
1784.675	428.25			
1784.675		224.25		
1784.693			98.75	
1784.693				537.25
1784.693	428.25			
1784.693		224.25		
1784.715			98.25	
1784.715				537.25
1784.715	427.5			
1784.715		228.75		
1784.741			98	
1784.741				537
1784.741		233.25		
1784.741	426.5			
1784.76			98	
1784.76				537
1784.76		233.25		
1784.76	426.5			
1784.781			98	
1784.781				537
1784.781		237		
1784.781	425.5			
1784.805			98	
1784.805				536.5
1784.805		240.25		
1784.805	424.25			
1784.828			98	
1784.828				536.25
1784.828		243		
1784.828	423.25			
1784.85			98	
1784.85				536.25
1784.85		243		
1784.85	423.25			
1784.873			97.75	
1784.873				536.25
1784.873		244.25		
1784.873	422.25			
1784.9			97.75	
1784.9				536.25
1784.9		245		
1784.9	421.25			
1784.927			97.75	
1784.927				536.25
1784.927		245		
1784.927	421.25			
1784.952			97.75	
1784.952				536.5
1784.952		245		
1784.952	420			
1784.976			98.25	
1784.976				536.5
1784.976		243.5		
1784.976	419			
1784.994			98.25	
1784.994				536.5
1784.994		243.5		
1784.994	419			
1785.016			97.75	
1785.016				537.25
1785.016		241.5		
1785.016	418.5			
1785.045			98	
1785.045				537.25
1785.045		239		
1785.045	417.75			
1785.068			98.75	
1785.068				537.25
1785.068		235.25		
1785.068	417			
1785.09			98.75	
1785.09				537.25
1785.09		235.25		
1785.09	417			
1785.111			99	
1785.111				537.5
1785.111		231.5		
1785.111	416.75			
1785.136			98.75	
1785.136				537.75
1785.136		227.25		
1785.136	416.75			
1785.164			98.75	
1785.164				537.75
1785.164		227.25		
1785.164	416.75			
1785.189			99	
1785.189				538.25
1785.189		222		
1785.189	417.5			
1785.219			98.5	
1785.219				536.5
1785.24				535
1785.24	416			
1785.24		210.5		
1785.261				535
1785.261	416			
1785.261		210.5		
1785.284			101.5	
1785.284				534
1785.284	416.75			
1785.284		206		
1785.336	422.25			
1785.336		200		
1785.358	422.25			
1785.358		200		
1785.38				541.5
1785.407	424.25			
1785.407		195.25		
1785.428				538.5
1785.449				538.5
1785.471	428.25			
1785.471		194		
1785.489	428.25			
1785.489		194		
1785.51				541.75
1785.531	430.25			
1785.531		196		
1785.563	430.25			
1785.563		196		
1785.581			103.25	
1785.581				538.5
1785.605	433			
1785.605		201.75		
1785.626	433			
1785.626		201.75		
1785.645			100.75	
1785.645				541.5
1785.645	434			
1785.645		205.5		
1785.671	434			
1785.671		210.25		
1785.691	434			
1785.691		210.25		
1785.712			102.75	
1785.712				538.5
1785.712	434.5			
1785.741				539.5
1785.741	434.75			
1785.764			100	
1785.764				540.5
1785.764	434.75			
1785.764		225		
