time	1	2	3	4
2803.78			104.75	
2803.78				528.5
2803.78	375.25			
2803.78		217.5		
2803.805			104.75	
2803.805				528.5
2803.805	375.25			
2803.805		217.5		
2803.829			105	
2803.829				528.5
2803.829	371.75			
2803.829		217.75		
2803.852			104.75	
2803.852				528.5
2803.852	369.75			
2803.852		218.5		
2803.874			104.75	
2803.874				528.5
2803.874	369.75			
2803.874		218.5		
2803.898			104.75	
2803.898				528.5
2803.898	370.5			
2803.898		218.75		
2803.922			104.75	
2803.922				528.25
2803.922	372.5			
2803.922		219		
2803.944			104.75	
2803.944				528.25
2803.944	375.75			
2803.944		219.5		
2803.974			104.75	
2803.974				528.25
2803.974	375.75			
2803.974		219.5		
2803.999			103.75	
2803.999				527.75
2803.999	380.75			
2803.999		219.5		
2804.021			103.75	
2804.021				527.5
2804.021		219.75		
2804.021	387.5			
2804.043			103.25	
2804.043				527.25
2804.043		219.75		
2804.043	396			
2804.063			103.25	
2804.063				527.25
2804.063		219.75		
2804.063	396			
2804.086			102.75	
2804.086				527
2804.086		219.75		
2804.086	404			
2804.107			102.75	
2804.107				527
2804.107		219.75		
2804.107	404			
2804.129			102.25	
2804.129				526.5
2804.129		219.5		
2804.129	413			
2804.16			102	
2804.16				526
2804.16		219.25		
2804.16	423			
2804.184			102	
2804.184				525.75
2804.184		218.75		
2804.184	432.25			
2804.214			101	
2804.214				525.5
2804.214	440.75			
2804.214		218		
2804.237			101	
2804.237				525.5
2804.237	440.75			
2804.237		218		
2804.262			100.75	
2804.262				525
2804.262	448.5			
2804.262		217.5		
2804.287			101	
2804.287				524.75
2804.287	455.75			
2804.287		216.75		
2804.315			100.5	
2804.315				524.5
2804.315	461.75			
2804.315		216		
2804.335			100.5	
2804.335				524.5
2804.335	461.75			
2804.335		216		
2804.36			100.5	
2804.36				524.5
2804.36	465.75			
2804.36		215		
2804.385			100.75	
2804.385				524.5
2804.385	468.75			
2804.385		214.25		
2804.41			100.75	
2804.41				524.5
2804.41	469.25			
2804.41		213.25		
2804.436			100.75	
2804.436				524.5
2804.436	469.25			
2804.436		213.25		
2804.459			101	
2804.459				524.75
2804.459	468.25			
2804.459		212.5		
2804.479			100.75	
2804.479				524.75
2804.479	465.75			
2804.479		211.5		
2804.503			100.75	
2804.503				524.75
2804.503	465.75			
2804.503		211.5		
2804.524			101	
2804.524				525.25
2804.524	461.75			
2804.524		210.5		
2804.547			101.75	
2804.547				525.75
2804.547	455.75			
2804.547		210.5		
2804.574			101.75	
2804.574				525.75
2804.574	455.75			
2804.574		210.5		
2804.597			102	
2804.597				526
2804.597	449			
2804.597		209.75		
2804.617			102.5	
2804.617				526.5
2804.617	441.25			
2804.617		209.5		
2804.64			102.5	
2804.64				526.5
2804.64	441.25			
2804.64		209.5		
2804.67			103	
2804.67				526.75
2804.67	433.25			
2804.67		209.75		
2804.691			103.75	
2804.691				527.5
2804.691		210		
2804.71			104	
2804.71				527.5
2804.71		210.5		
2804.71	414.5			
2804.73			104	
2804.73				527.5
2804.73		210.5		
2804.73	414.5			
2804.755			104.5	
2804.755				528.5
2804.755		211.25		
2804.775			104.5	
2804.775				528.5
2804.775		211.25		
2804.797			104.75	
2804.797				528.5
2804.797	397.5			
2804.797		212.25		
2804.826			105	
2804.826				529
2804.826		213.5		
2804.826	390			
2804.856			105.5	
2804.856				529.5
2804.856	383.75			
2804.856		214.75		
2804.878			105.75	
2804.878				529.5
2804.878	379			
2804.878		216		
2804.906			105.75	
2804.906				529.5
2804.906	379			
2804.906		216		
2804.929			105.75	
2804.929				529.5
2804.929	375.5			
2804.929		217.5		
2804.955			105.75	
2804.955				529.5
2804.955	373.5			
2804.955		219.25		
2804.981			105.5	
2804.981				529.5
2804.981	373.25			
2804.981		220.75		
2805.009			105.5	
2805.009				529.5
2805.009	373.25			
2805.009		220.75		
2805.033			105.75	
2805.033				529.5
2805.033	374.75			
2805.033		222		
2805.056			105	
2805.056				528.75
2805.056		223.5		
2805.056	378			
2805.08			104.75	
2805.08				528.5
2805.08		224.5		
2805.08	382.75			
2805.1			104.75	
2805.1				528.5
2805.1		224.5		
2805.1	382.75			
2805.119			104.5	
2805.119				528.5
2805.119		225.5		
2805.119	389.25			
2805.147			104.25	
2805.147				527.75
2805.147		226.25		
2805.147	396.25			
2805.168			104.25	
2805.168				527.75
2805.168		226.25		
2805.168	396.25			
2805.199			103.5	
2805.199				527.5
2805.199		226.75		
2805.199	404.25			
2805.221			102.75	
2805.221				527
2805.221		226.5		
2805.221	413			
2805.241			102.75	
2805.241				526.5
2805.241		226.25		
2805.241	421.5			
2805.263			102.75	
2805.263				526.5
2805.263		226.25		
2805.263	421.5			
2805.293			102	
2805.293				526
2805.293		225.25		
2805.293	431			
2805.316			101.75	
2805.316				525.5
2805.316		224.25		
2805.316	439			
2805.337			101.75	
2805.337				525.5
2805.337		224.25		
2805.337	439			
2805.358			101.25	
2805.358				525.5
2805.358	446.25			
2805.358		222.75		
2805.378			101.25	
2805.378				525.5
2805.378	446.25			
2805.378		222.75		
2805.401			101	
2805.401				525
2805.401	453.25			
2805.401		221		
2805.426			100.75	
2805.426				524.5
2805.426	458.75			
2805.426		219.25		
2805.448			100.75	
2805.448				524.5
2805.448	463			
2805.448		217		
2805.473			100.75	
2805.473				524.5
2805.473	463			
2805.473		217		
2805.499			100.5	
2805.499				524.5
2805.499	465.75			
2805.499		214.75		
2805.529			100.5	
2805.529				524.5
2805.529	466.75			
2805.529		212.5		
2805.556			100.75	
2805.556				524.5
2805.556	465.75			
2805.556		210.5		
2805.587			100.75	
2805.587				524.5
2805.587	464			
2805.587		208		
2805.609			100.75	
2805.609				524.5
2805.609	464			
2805.609		208		
2805.632			100.75	
2805.632				524.5
2805.632	460.25			
2805.632		206		
2805.651			101	
2805.651				525.5
2805.651	455			
2805.651		204.5		
2805.669			101	
2805.669				525.5
2805.669	455			
2805.669		204.5		
2805.69			101.75	
2805.69				525.75
2805.69	448.25			
2805.69		203		
2805.718			101.75	
2805.718				526.25
2805.718	441.25			
2805.718		202.25		
2805.745			102.5	
2805.745				526.5
2805.745	433.25			
2805.745		201.5		
2805.763			102.5	
2805.763				526.5
2805.763	433.25			
2805.763		201.5		
2805.787			102.75	
2805.787				526.75
2805.787		201.5		
2805.811			103.5	
2805.811				527.25
2805.811	415.75			
2805.811		202		
2805.837			103.5	
2805.837				527.25
2805.837	415.75			
2805.837		202		
2805.862			103.75	
2805.862				527.5
2805.862	407			
2805.862		203		
2805.886			103.75	
2805.886				527.75
2805.886	399			
2805.886		204.5		
2805.91			103.75	
2805.91				527.75
2805.91	399			
2805.91		204.5		
2805.937			104	
2805.937				528.5
2805.937		206.25		
2805.962			104.5	
2805.962				528
2805.962		208.5		
2805.962	386			
2805.985			104.75	
2805.985				528.5
2805.985	380.5			
2805.985		211		
2806.006			104.75	
2806.006				528.5
2806.006	380.5			
2806.006		211		
2806.024			104.75	
2806.024				528.5
2806.024	377			
2806.049			104.75	
2806.049				528.5
2806.049	375			
2806.049		216.75		
2806.069			104.75	
2806.069				528.5
2806.069	375			
