time	1	2	3	4
122.505				537.25
122.505			125.75	
122.505	274.5			
122.505		482.25		
122.533				537.25
122.533			125.75	
122.533	274.5			
122.533		482.25		
122.557				537.75
122.557			125.75	
122.557	274.5			
122.557		483.5		
122.584				537.75
122.584			126	
122.584	272.5			
122.584		484		
122.61				539
122.61			126.75	
122.61	269.5			
122.61		482.5		
122.633				539
122.633			126.75	
122.633	269.5			
122.633		482.5		
122.659				540.25
122.659			128	
122.659	265			
122.659		479.75		
122.691				541.5
122.691			129.25	
122.691		475.5		
122.691	259.25			
122.714				542.75
122.714			130.75	
122.714		469.75		
122.714	253.25			
122.738				544.5
122.738			132.75	
122.738		463.75		
122.738	246			
122.762				544.5
122.762			132.75	
122.762		463.75		
122.762	246			
122.79				546.25
122.79			133.75	
122.79		456.5		
122.79	238.25			
122.816				548.25
122.816			135.75	
122.816		449		
122.816	230.75			
122.848				550
122.848			137.75	
122.848		441.75		
122.848	224			
122.876				551.5
122.876			139.5	
122.876		434.5		
122.876	217			
122.907				553
122.907			141.25	
122.907		428		
122.907	211.25			
122.935				553
122.935			141.25	
122.935		428		
122.935	211.25			
122.957				554.75
122.957			142.75	
122.957	206.75			
122.957		422		
122.985				556
122.985			143.75	
122.985	203.5			
122.985		417.5		
123.015				556.75
123.015			145	
123.015		414.5		
123.015	201.75			
123.046				557.5
123.046			145.5	
123.046		412		
123.046	201.5			
123.071				558
123.071			145.75	
123.071		411.5		
123.071	202.75			
123.096				558
123.096			145.75	
123.096		411.5		
123.096	202.75			
123.115				558
123.115			146	
123.115		412.25		
123.115	206			
123.142				557.5
123.142			146	
123.142		414.75		
123.142	210.5			
123.17				556.75
123.17			145.75	
123.17		418.75		
123.17	216.25			
123.198				556.75
123.198			145.75	
123.198		418.75		
123.198	216.25			
123.225				556.5
123.225			144.75	
123.225		423.5		
123.225	222.75			
123.251				555.5
123.251			143.75	
123.251	230.25			
123.278				554.5
123.278			142.75	
123.278	238.75			
123.303				553.25
123.303			141.75	
123.303	247.25			
123.303		443.75		
123.332				553.25
123.332			141.75	
123.332	247.25			
123.332		443.75		
123.363				552
123.363			140	
123.363	255			
123.363		451.75		
123.382				550.5
123.382			139	
123.382	263			
123.382		459		
123.41				549.5
123.41			137.75	
123.41	269.75			
123.41		466.5		
123.435				549.5
123.435			137.75	
123.435	269.75			
123.435		466.5		
123.459				548.5
123.459			136.75	
123.459	275.5			
123.459		473.25		
123.489				547.5
123.489			135.75	
123.489	280			
123.489		478.75		
123.518				546.75
123.518			135	
123.518	283.25			
123.518		483.75		
123.548				546.5
123.548			134.75	
123.548	285			
123.548		486.75		
123.573				546.5
123.573			134.75	
123.573	285			
123.573		488.75		
123.604				546.5
123.604			134.75	
123.604	283.5			
123.604		489		
123.628				546.5
123.628			134.75	
123.628	283.5			
123.628		489		
123.651				547
123.651			135	
123.651	280.5			
123.651		488		
123.677				547.75
123.677			135.75	
123.677	276			
123.677		485.5		
123.707				547.75
123.707			135.75	
123.707	276			
123.707		485.5		
123.735				548.75
123.735			137	
123.735	270			
123.735		481.75		
123.765				550
123.765			138.25	
123.765	263.75			
123.765		476.5		
123.794				550.75
123.794			139.5	
123.794		471.25		
123.794	256.25			
123.833				552.5
123.833			141	
123.833	248			
123.833		464.25		
123.857				554
123.857			142.5	
123.857	240			
123.885				556
123.885			144	
123.885		450.5		
123.885	232.25			
123.913				556.75
123.913			145.5	
123.913	224.25			
123.913		443.25		
123.941				557.75
123.941			146.75	
123.941		436.5		
123.941	217.5			
123.971				559.25
123.971			148	
123.971		430.75		
123.971	212.25			
123.999				559.25
123.999			148	
123.999		430.75		
123.999	212.25			
124.028				560.25
124.028			148.5	
124.028	207.75			
124.028		426		
124.053				560.75
124.053			149	
124.053	205			
124.053		422		
124.084				561.5
124.084			149.75	
124.084		419.25		
124.084	203.75			
124.111				561.75
124.111			150	
124.111		418.5		
124.111	204			
124.142				561.75
124.142			150	
124.142		418		
124.142	206.25			
124.17				561.25
124.17			150	
124.17	209.75			
124.17		420		
124.197				561.25
124.197			150	
124.197	209.75			
124.197		420		
124.216				561
124.216			149.75	
124.216		422.75		
124.216	215			
124.246				560.5
124.246			148.75	
124.246		426.75		
124.246	221.25			
124.272				560.25
124.272			148	
124.272		432		
124.272	228.75			
124.299				560.25
124.299			148	
124.299		432		
124.299	228.75			
124.327				558.75
124.327			147	
124.327	236.75			
124.327		438		
124.355				557.75
124.355			146.25	
124.355		444.5		
124.355	244.75			
124.383				556.75
124.383			145.5	
124.383	253.5			
124.383		451.75		
124.41				555.75
124.41			144	
124.41	261.75			
124.41		458.75		
124.436				555.75
124.436			144	
124.436	261.75			
