time	1	2	3	4
759.4	100	100		536.25
759.4	100	100	133.75	
759.42	100	100		536.25
759.42	100	100	133.75	
759.447	100	100		534.5
759.447	100	100	131.75	
759.468	100	100		532.5
759.468	100	100	129.75	
759.496	100	100		530.75
759.496	100	100	127.75	
759.521	100	100		530.75
759.521	100	100	127.75	
759.55	100	100		528.5
759.55	100	100	125.75	
759.575	100	100		526
759.575	100	100	123.5	
759.597	100	100		523.5
759.597	100	100	121	
759.621	100	100		523.5
759.621	100	100	121	
759.65	100	100		521.25
759.65	100	100	118.75	
759.68	100	100		519
759.68	100	100	116.75	
759.708	100	100		516.5
759.708	100	100	114.5	
759.728	100	100		514.5
759.728	100	100	112.5	
759.763	100	100		512.5
759.763	100	100	110.25	
759.784	100	100		512.5
759.784	100	100	110.25	
759.808	100	100		510.5
759.808	100	100	107.75	
759.836	100	100		508.5
759.836	100	100	105.75	
759.864	100	100		506.5
759.864	100	100	103.75	
759.887	100	100		506.5
759.887	100	100	103.75	
759.912	100	100		503.75
759.912	100	100	101.5	
759.948	100	100		501.5
759.948	100	100	99	
759.965	100	100		499.5
759.965	100	100	96.25	
759.996	100	100		496.75
759.996	100	100	94.25	
760.019	100	100		496.75
760.019	100	100	94.25	
760.05	100	100		494.75
760.05	100	100	92	
760.076	100	100		492.5
760.076	100	100	90	
760.101	100	100		490.5
760.101	100	100	87.75	
760.129	100	100		490.5
760.129	100	100	87.75	
760.161	100	100	84	
760.161	100	100		486.25
760.184	100	100	84	
760.184	100	100		486.25
760.216	100	100		484.5
760.216	100	100	81.75	
760.247	100	100		482.5
760.247	100	100	79.75	
760.279	100	100		481
760.279	100	100	77.75	
760.306	100	100	76.5	
760.306	100	100		479.25
760.33	100	100		477.75
760.33	100	100	75	
760.359	100	100		477.75
760.359	100	100	75	
760.379	100	100		476.5
760.379	100	100	73.25	
760.411	100	100		474.75
760.411	100	100	71.75	
760.446	100	100	70.5	
760.446	100	100		473.25
760.475	100	100		472.5
760.475	100	100	68.75	
760.501	100	100		471.5
760.501	100	100	67.75	
760.527	100	100		471.5
760.527	100	100	67.75	
760.556	100	100		469.5
760.556	100	100	66.75	
760.578	100	100	65.75	
760.578	100	100		469
760.607	100	100		468.5
760.607	100	100	65	
760.629	100	100		468.5
760.629	100	100	65	
760.659	100	100		467.5
760.659	100	100	64.25	
760.683	100	100		467.25
760.683	100	100	63.75	
760.707	100	100	63.75	
760.707	100	100		467
760.733	100	100		466.75
760.733	100	100	63.75	
760.759	100	100		466.75
760.759	100	100	63.75	
760.785	100	100	63.5	
760.785	100	100		466.75
760.809	100	100		466.75
760.809	100	100	63.75	
760.843	100	100	64	
760.843	100	100		467.25
760.874	100	100	64	
760.874	100	100		467.25
760.904	100	100	64.75	
760.904	100	100		468.5
760.934	100	100	65.5	
760.934	100	100		468.5
760.954	100	100	65.5	
760.954	100	100		468.5
760.982	100	100	67	
760.982	100	100		469.5
761.003	100	100	68	
761.003	100	100		470.5
761.025	100	100	68	
761.025	100	100		470.5
761.049	100	100		471.75
761.049	100	100	68.75	
761.076	100	100		473.25
761.076	100	100	69.75	
761.107	100	100		474.5
761.107	100	100	71.25	
761.143	100	100		475.5
761.143	100	100	72.25	
761.164	100	100		477.25
761.164	100	100	74	
761.192	100	100		477.25
761.192	100	100	74	
761.216	100	100	75.5	
761.216	100	100		478.5
761.245	100	100		479.75
761.245	100	100	77.25	
761.27	100	100		481.5
761.27	100	100	78.75	
761.294	100	100		483
761.294	100	100	80	
761.319	100	100		483
761.319	100	100	80	
761.345	100	100	82	
761.345	100	100		484.5
761.37	100	100		486.25
761.37	100	100	83.75	
761.399	100	100	86	
761.399	100	100		488.25
761.427	100	100	86	
761.427	100	100		488.25
761.452	100	100		490.25
761.452	100	100	87.5	
761.475	100	100		492.5
761.475	100	100	89.5	
761.498	100	100		494.5
761.498	100	100	91.5	
761.519	100	100		494.5
761.519	100	100	91.5	
761.546	100	100	94	
761.546	100	100		496.5
761.572	100	100		498.5
761.572	100	100	95.5	
761.595	100	100		500.5
761.595	100	100	97.75	
761.617	100	100		500.5
761.617	100	100	97.75	
761.649	100	100		502.25
761.649	100	100	99.75	
761.677	100	100	102	
761.677	100	100		504.5
761.702	100	100		506.25
761.702	100	100	103.75	
761.736	100	100		507.75
761.736	100	100	105.25	
761.767	100	100		509.5
761.767	100	100	107.5	
761.801	100	100		511.5
761.801	100	100	108.75	
761.828	100	100		511.5
761.828	100	100	108.75	
761.854	100	100		513.5
761.854	100	100	110.75	
761.877	100	100		515
761.877	100	100	112.5	
761.902	100	100		517
761.902	100	100	114.5	
761.926	100	100		517
761.926	100	100	114.5	
761.948	100	100		518.75
761.948	100	100	116.5	
761.979	100	100		520.5
761.979	100	100	118.25	
762.007	100	100		522.5
762.007	100	100	119.75	
762.031	100	100		524.5
762.031	100	100	122	
762.031	100	100		524
762.055	100	100		524.5
762.055	100	100	122	
762.055	100	100		524
762.09	100	100		526
762.09	100	100	123.5	
762.116	100	100		527.5
762.116	100	100	125	
762.138	100	100		529.5
762.138	100	100	126.5	
762.171	100	100		530.5
762.171	100	100	128.5	
762.194	100	100		532
762.194	100	100	129.5	
762.22	100	100		532
762.22	100	100	129.5	
762.243	100	100		533.5
762.243	100	100	130.5	
762.269	100	100		534.5
762.269	100	100	132	
762.298	100	100		535.25
762.298	100	100	133	
762.319	100	100		535.25
762.319	100	100	133	
762.343	100	100		536.5
762.343	100	100	134	
762.371	100	100		537
762.371	100	100	134.5	
762.401	100	100		537.5
762.401	100	100	135.5	
762.431	100	100		538.5
762.431	100	100	136	
762.456	100	100		538.5
762.456	100	100	136	
762.484	100	100		538.5
762.484	100	100	136.5	
762.51	100	100		539.25
762.51	100	100	136.75	
762.54	100	100		539.5
762.54	100	100	137.25	
762.564	100	100		539.5
762.564	100	100	137.5	
762.594	100	100		540.25
762.594	100	100	137.75	
762.616	100	100		540.25
762.616	100	100	137.75	
762.645	100	100		540.5
762.645	100	100	138	
762.672	100	100		540.5
762.672	100	100	138	
