time	1	2	3	4
2650.886			116	
2650.886				535.25
2650.886		227.75		
2650.903			116	
2650.903				535.25
2650.903		227.75		
2650.925			115	
2650.925				534.5
2650.925	384.5			
2650.925		227		
2650.948			115	
2650.948				534.5
2650.948	384.5			
2650.948		227		
2650.976			114.5	
2650.976				533.75
2650.976	381			
2650.976		226.75		
2651			113.5	
2651				533
2651	379.25			
2651		226		
2651.022			112.75	
2651.022				531.75
2651.022	379.25			
2651.022		225.5		
2651.049			112.75	
2651.049				531.75
2651.049	379.25			
2651.049		225.5		
2651.071			111.5	
2651.071				531.25
2651.071	381			
2651.071		224.75		
2651.097			110.5	
2651.097				530
2651.097		223.75		
2651.097	384.25			
2651.116			110.5	
2651.116				530
2651.116		223.75		
2651.116	384.25			
2651.142			109.25	
2651.142				528.5
2651.142		222.75		
2651.164			108	
2651.164				527.5
2651.164		221.75		
2651.191			106.25	
2651.191				526.25
2651.191		220.75		
2651.225			105	
2651.225				525.25
2651.225		219.25		
2651.25			105	
2651.25				525.25
2651.25		219.25		
2651.274			104	
2651.274				523.5
2651.274		217.75		
2651.293			102.25	
2651.293				522.5
2651.293		216.25		
2651.319			101	
2651.319				521.5
2651.319		214.75		
2651.341			101	
2651.341				521.5
2651.341		214.75		
2651.364			100.25	
2651.364				520
2651.364		212.75		
2651.388			99	
2651.388				518.75
2651.388		210.75		
2651.418			99	
2651.418				518.75
2651.418		210.75		
2651.445			98	
2651.445				518
2651.445	449			
2651.445		209		
2651.467			97	
2651.467				517.25
2651.467	453			
2651.467		207		
2651.487			96.75	
2651.487				516.5
2651.487	455.5			
2651.487		205.5		
2651.508			96.75	
2651.508				516.5
2651.508	455.5			
2651.508		205.5		
2651.54			96	
2651.54				516.25
2651.54	456.5			
2651.54		203.5		
2651.56			95.75	
2651.56				516
2651.56	456			
2651.56		202.25		
2651.587			96	
2651.587				516
2651.587	454.25			
2651.587		200.75		
2651.608			96	
2651.608				516
2651.608	454.25			
2651.608		200.75		
2651.625			96	
2651.625				516.25
2651.625	451			
2651.648			96	
2651.648				516.25
2651.648	451			
2651.669			96.5	
2651.669				516.5
2651.669	446			
2651.669		199		
2651.69			97	
2651.69				517
2651.719			97.25	
2651.719				517.75
2651.719		198		
2651.742			97.25	
2651.742				517.75
2651.742		198		
2651.766			98.25	
2651.766				518.5
2651.766		198		
2651.785			99	
2651.785				519
2651.785		198.75		
2651.808			99	
2651.808				519
2651.808		198.75		
2651.837			100	
2651.837				519.75
2651.837		199.75		
2651.862			100.25	
2651.862				520.5
2651.862		201		
2651.886			101	
2651.886				521.5
2651.886		203		
2651.909			101	
2651.909				521.5
