time	1	2	3	4
302.778			131.25	
302.778				536.5
302.778	262.25			
302.778		401		
302.806			132	
302.806				537.25
302.806	257.5			
302.806		399.25		
302.842				537.5
302.842			132.5	
302.842	252			
302.842		399.25		
302.87			133	
302.87				538.5
302.87	245.5			
302.87		400.25		
302.899				539.25
302.899			134	
302.899	238.5			
302.899		402.75		
302.929				539.25
302.929			134	
302.929	238.5			
302.929		402.75		
302.954				539.5
302.954			134	
302.954	232.25			
302.954		406.75		
302.986				539.5
302.986			134.75	
302.986	224.75			
302.986		411.75		
303.019			134.75	
303.019				539.5
303.019	218.75			
303.019		417.5		
303.043				539.5
303.043			134	
303.043	212.5			
303.043		425		
303.071				539
303.071			134	
303.071	207.5			
303.071		431.75		
303.1				538.5
303.1			133	
303.1				538.25
303.1		439.25		
303.1	203.5			
303.125				538.5
303.125			133	
303.125				538.25
303.125		439.25		
303.125	203.5			
303.148			132.5	
303.148				537.5
303.148	200			
303.182			132	
303.182				536.5
303.182		455		
303.182	198			
303.209				536.25
303.209			131	
303.209		461.5		
303.209	197			
303.24				535.5
303.24			130	
303.24		467.75		
303.24	197.25			
303.263				535.5
303.263			130	
303.263		467.75		
303.263	197.25			
303.283			129.25	
303.283				534.25
303.283		472.75		
303.283	198.5			
303.31			128.25	
303.31				533.25
303.31		476.25		
303.31	200.5			
303.338				532.5
303.338			127.25	
303.338		479.25		
303.338	204			
303.369				532
303.369			127	
303.369		480.25		
303.369	208			
303.39				532
303.39			127	
303.39		480.25		
303.39	208			
303.421			125.75	
303.421				531
303.421		479.25		
303.421	213			
303.451			125	
303.451				530.5
303.451		477.25		
303.451	218			
303.476			124	
303.476				529.5
303.476		473.75		
303.476	223.5			
303.505				528.5
303.505			123.25	
303.505			123.5	
303.505		468.5		
303.505	229			
303.531				528.5
303.531			123.25	
303.531			123.5	
303.531		468.5		
303.531	229			
303.555			123	
303.555				528.25
303.555		462.25		
303.555	234.75			
303.587				527.5
303.587			122	
303.587		454.75		
303.587	239.25			
303.619				527.5
303.619			122	
303.619		446.5		
303.619	244			
303.641			122	
303.641				527.5
303.641	247.25			
303.641		437.75		
303.671			121.75	
303.671				527.5
303.671	250.25			
