time	1	2	3	4
488.449				530
488.449			118.75	
488.449		445.5		
488.449	206			
488.471				530
488.471			118.75	
488.471		448.25		
488.471	202.75			
488.499				530
488.499			118.75	
488.499		448.25		
488.499	202.75			
488.52				530
488.52			118.75	
488.52		450.25		
488.52	201			
488.543				530
488.543			118.75	
488.543		451.25		
488.543	199.75			
488.569				529.75
488.569			118.75	
488.569		452.25		
488.569	199.25			
488.589				529.75
488.589			118.75	
488.589		452.25		
488.589	199.25			
488.62				529.75
488.62			118.75	
488.62		452.25		
488.62	199.25			
488.643				530
488.643			118.75	
488.643		451.25		
488.643	200			
488.669				529.75
488.669			118.75	
488.669		449.25		
488.669	202.25			
488.69				529.75
488.69			118.75	
488.69		449.25		
488.69	202.25			
488.72				529.75
488.72			118.75	
488.72		447		
488.72	205			
488.748				529.75
488.748			118.75	
488.748		444.25		
488.748	207.75			
488.777				530
488.777			118.75	
488.777		440.75		
488.777	211.5			
488.803				530
488.803			118.75	
488.803		437.5		
488.803	215.25			
488.837				529.75
488.837			118.75	
488.837		433.25		
488.837	219.5			
488.869				529.75
488.869			119	
488.869	223.75			
488.869		429.5		
488.897				529.75
488.897			119	
488.897	223.75			
488.897		429.5		
488.918				529.75
488.918			118.75	
488.918	228			
488.918		425.5		
488.953				530
488.953			118.75	
488.953	232.25			
488.953		421.5		
488.978				530
488.978			118.75	
488.978	235.75			
488.978		417.75		
489.007				529.75
489.007			119	
489.007	239.25			
489.007		415		
489.038				529.75
489.038			119	
489.038	242			
489.038		412.25		
489.063				530
489.063			118.5	
489.063	243.75			
489.063		410.25		
489.09				530
489.09			118.5	
489.09	243.75			
489.09		410.25		
489.122				530
489.122			118.75	
489.122	245			
489.122		409		
489.151				529.75
489.151			118.75	
489.151	246			
489.151		408.25		
489.179				529.75
489.179			118.75	
489.179	245.75			
489.179		408.25		
489.207				530
489.207			118.75	
489.207	244.25			
489.207		409.25		
489.231				530
489.231			118.75	
489.231	244.25			
489.231		409.25		
489.256				530
489.256			118.75	
489.256	242.75			
489.256		411		
489.287				529.75
489.287			119	
489.287	240.25			
489.287		413		
489.31				529.75
489.31			118.75	
489.31	237.5			
489.31		415.75		
489.338				530
489.338			118.75	
489.338	233.75			
489.338		419		
489.361				530
489.361			118.75	
489.361	233.75			
489.361		419		
489.383				530
489.383			118.75	
489.383	229.5			
489.383		422.75		
489.418				529.75
489.418			118.75	
489.418	225.75			
489.418		427		
489.447				529.75
489.447			118.75	
489.447	221.5			
489.447		430.5		
489.475				530
489.475			118.75	
489.475		434.75		
489.475	217.5			
489.502				529.75
489.502			118.75	
489.502		438.75		
489.502	213			
489.524				529.75
489.524			118.75	
489.524		438.75		
489.524	213			
489.551				530
489.551			118.75	
489.551		442		
489.551	209.5			
489.579				530
489.579			118.75	
489.579		445.25		
489.579	206			
489.608				530
489.608			118.75	
489.608		448.25		
489.608	203			
489.639				530
489.639			118.75	
489.639		450.25		
489.639	201			
489.668				529.75
489.668			118.75	
489.668		451.25		
489.668	199.75			
489.696				529.75
489.696			118.75	
489.696		451.25		
489.696	199.75			
489.721				529.75
489.721			118.75	
489.721		452.25		
489.721	199			
489.747				529.75
489.747			118.75	
