time	1	2	3	4
1017.946				562
1017.946			147	
1017.946	482.75			
1017.979				562.25
1017.979			147.25	
1017.979	478.25			
1017.979		249.75		
1018.009				562
1018.009			147.5	
1018.009	473			
1018.009		243.5		
1018.042				562
1018.042			147.25	
1018.042	467			
1018.042		236.75		
1018.069				562.25
1018.069			147.5	
1018.069	461			
1018.069		231.5		
1018.1				562
1018.1			147.25	
1018.1	454.5			
1018.1		226.5		
1018.122				562
1018.122			147.25	
1018.122	454.5			
1018.122		226.5		
1018.15			147	
1018.15				561.5
1018.15	447.75			
1018.15		223		
1018.176				561.5
1018.176			146.5	
1018.176	441.75			
1018.176		220		
1018.206			146	
1018.206				561
1018.206	436.25			
1018.206		218.25		
1018.231			145.75	
1018.231				559.75
1018.231		217.5		
1018.231	431			
1018.262			144.75	
1018.262				559.5
1018.262		218.5		
1018.262	426.75			
1018.283			144.75	
1018.283				559.5
1018.283		218.5		
1018.283	426.75			
1018.312				558.5
1018.312			144	
1018.312	423.25			
1018.312		220		
1018.337			142.75	
1018.337				557.5
1018.337	420.75			
1018.337		222.75		
1018.365				556.5
1018.365			141.75	
1018.365	418.75			
1018.365		226.5		
1018.383				556.5
1018.383			141.75	
1018.383	418.75			
1018.383		226.5		
1018.409			140.5	
1018.409				555.5
1018.409		230.5		
1018.409	418.75			
1018.433				554.5
1018.433			139	
1018.433	419.25			
1018.433		235.5		
1018.456				554.5
1018.456			139	
1018.456	419.25			
1018.456		235.5		
1018.498			136.5	
1018.498				551.5
1018.498		246		
1018.498	423.25			
1018.528			135	
1018.528				550
1018.528		251.75		
1018.528	425.75			
1018.557			135	
1018.557				550
1018.557		251.75		
1018.557	425.75			
1018.579			133.5	
1018.579				548.5
1018.579		256.5		
1018.579	429.75			
1018.611			132	
1018.611				547
1018.611		261		
1018.611	433.75			
1018.634			130.5	
1018.634				545.5
1018.634		264.5		
1018.634	438.25			
1018.664			129	
1018.664				543.5
1018.664		266.5		
1018.664	442.5			
1018.692			127.5	
1018.692				542.5
1018.692		268.5		
1018.692	446.5			
1018.719			127.5	
1018.719				542.5
1018.719		268.5		
1018.719	446.5			
1018.746			125.75	
1018.746				540.5
1018.746		269		
1018.746	450.25			
1018.773			124.5	
1018.773				539.5
1018.773		268.25		
1018.773	454			
1018.796			122.75	
1018.796				538
1018.796		266		
1018.796	456.25			
1018.823			121.25	
1018.823				536.5
1018.823		263		
1018.823	458			
1018.845			121.25	
1018.845				536.5
1018.845		263		
1018.845	458			
1018.872			120.5	
1018.872				535.5
1018.872		258.5		
1018.872	458.75			
1018.901			119	
1018.901				534
1018.901	458.75			
1018.901		253		
1018.93			117.75	
1018.93				532.75
1018.93	457.75			
1018.93		247.25		
1018.956			117.75	
1018.956				532.75
1018.956	457.75			
1018.956		247.25		
1018.986			116.5	
1018.986				531.25
1018.986	455.5			
1018.986		239.5		
1019.009			115	
1019.009				530.25
1019.009	452.25			
1019.009		232.75		
1019.032			113.75	
1019.032				529.25
1019.032	448.5			
1019.032		224.75		
1019.056			113.75	
1019.056				529.25
1019.056	448.5			
1019.056		224.75		
1019.08			113	
1019.08				528.25
1019.08	443.5			
1019.08		216.5		
1019.106			111.5	
1019.106				527.25
1019.106	438.5			
1019.106		208.25		
1019.138			110.5	
1019.138				526
1019.138	431.5			
1019.138		201.5		
1019.165			109.5	
1019.165				525
1019.165	425.5			
1019.165		194.75		
1019.198			108.75	
1019.198				524
1019.198	419			
1019.198		188.75		
1019.225			107.75	
1019.225				523.5
1019.225		183.5		
1019.225	412.75			
1019.251			107.75	
1019.251				523.5
1019.251		183.5		
1019.251	412.75			
1019.279			106.75	
1019.279				522.5
1019.279		179.5		
1019.279	406.5			
1019.307			106	
1019.307				521.5
1019.307		177		
1019.307	400.25			
1019.333			105.25	
1019.333				520.5
1019.333		175.5		
1019.333	395			
1019.359			104	
1019.359				519.5
1019.359		175.5		
1019.359	390.25			
1019.387			104	
1019.387				519.5
1019.387		175.5		
1019.387	390.25			
1019.415			103.25	
1019.415				518.75
1019.415	386.25			
1019.415		176.5		
1019.446			101.75	
1019.446				517.5
1019.446		179		
1019.446	383.5			
1019.471			100.5	
1019.471				516.5
1019.471	381.75			
1019.471		183		
1019.503			99.25	
1019.503				515.25
1019.503	380.75			
1019.503		187.25		
1019.537			98.25	
1019.537				514
1019.537		192		
1019.537	381			
1019.566			96.75	
1019.566				512.5
1019.566		198		
1019.566	382.25			
1019.598			95.25	
1019.598				511.5
1019.598		204.25		
1019.598	384.25			
1019.621			95.25	
1019.621				511.5
1019.621		204.25		
1019.621	384.25			
1019.644			94	
1019.644				509.75
1019.644		210		
1019.644	387.25			
1019.676			92.5	
1019.676				508.5
1019.676		216		
1019.676	390.75			
1019.703			91.25	
1019.703				507.5
1019.703		221.25		
1019.703	395.25			
1019.729			89.5	
1019.729				506
1019.729		225.75		
1019.729	399			
1019.754			89.5	
1019.754				506
1019.754		225.75		
1019.754	399			
1019.781			88.25	
1019.781				504.5
1019.781		229.5		
1019.781	403.5			
1019.807			87.25	
1019.807				503.5
1019.807		232.25		
1019.807	407.5			
1019.837			86	
1019.837				502.5
1019.837		233.75		
1019.837	411.5			
1019.867			85.5	
1019.867				501.5
1019.867		234		
1019.867	415.25			
1019.892			85.5	
1019.892				501.5
1019.892		234		
1019.892	415.25			
1019.915			84.5	
1019.915				501
1019.915	418.25			
1019.938			83.75	
1019.938				500.25
1019.938		230.5		
1019.938	420.5			
1019.962			83.25	
1019.962				499.75
1019.962		227		
1019.962	422.25			
1019.987			83.25	
1019.987				499.75
1019.987		227		
1019.987	422.25			
1020.017			83.5	
1020.017				500
1020.017		222.5		
1020.017	423			
1020.046			83.75	
1020.046				500.5
