time	1	2	3	4
7394.155			75.5	
7394.155				481.75
7394.155		181.25		
7394.155	373.25			
7394.179			76	
7394.179				482
7394.179		181.75		
7394.179	368.25			
7394.207			76	
7394.207				482.25
7394.207		182		
7394.207	363.5			
7394.229			76.5	
7394.229				482.25
7394.229		182.75		
7394.229	359.5			
7394.252			76.5	
7394.252				482.25
7394.252		182.75		
7394.252	359.5			
7394.283			76.75	
7394.283				482.5
7394.283		183.25		
7394.283	356.25			
7394.31			76.5	
7394.31				482
7394.31		184.5		
7394.31	354			
7394.34			76.75	
7394.34				482.5
7394.34		185.25		
7394.34	353			
7394.382			76.75	
7394.382				482.5
7394.382		186		
7394.382	352.75			
7394.403			76.5	
7394.403				482
7394.403	353.5			
7394.424			76.25	
7394.424				482
7394.424		188		
7394.424	355.5			
7394.45			76.25	
7394.45				482
7394.45		188		
7394.45	355.5			
7394.472			76	
7394.472				482
7394.472		189		
7394.472	358.25			
7394.498			76	
7394.498				481.75
7394.498		189.75		
7394.498	361.75			
7394.53			75.5	
7394.53				481.5
7394.53	366.25			
7394.55			75.5	
7394.55				481.5
7394.55	366.25			
7394.571			75.5	
7394.571				481.25
7394.571		190.75		
7394.571	371			
7394.593			75.25	
7394.593				481
7394.593		191		
7394.593	376.25			
7394.616			75.25	
7394.616				481
7394.616		191		
7394.616	376.25			
7394.64			75	
7394.64				481.25
7394.64		191.25		
7394.64	381.75			
7394.667			75	
7394.667				481
7394.667	387.25			
7394.667		191.25		
7394.693			74.75	
7394.693				481
7394.693		191		
7394.693	392.75			
7394.716			74.75	
7394.716				481
7394.716		191		
7394.716	392.75			
7394.736			74.75	
7394.736				481
7394.736	397.5			
7394.736		190.75		
7394.757			75	
7394.757				481
7394.757	401.75			
7394.781			75	
7394.781				481
7394.781	401.75			
7394.811			75.75	
7394.811				481
7394.811	405.75			
7394.831			76	
7394.831				481.75
7394.831	409			
7394.857			76	
7394.857				482.25
7394.857	411.25			
7394.857		187.5		
7394.879			76	
7394.879				482.25
7394.879	411.25			
7394.879		187.5		
7394.905			76.75	
7394.905				482.5
7394.905	412.25			
7394.905		187		
7394.927			77	
7394.927				482.5
7394.927	412.25			
7394.927		185.75		
7394.951			77	
7394.951				482.5
7394.951	412.25			
7394.951		185.75		
7394.974			77.5	
7394.974				483.25
7394.974	411.5			
7394.974		185		
7394.994			78	
7394.994				483.75
7394.994	409.75			
7394.994		184.5		
7395.016			78	
7395.016				483.75
7395.016	409.75			
7395.016		184.5		
7395.049			78.75	
7395.049				484.25
7395.049	407.5			
7395.049		183.5		
7395.071			79	
7395.071				484.75
7395.071	404.25			
7395.071		183.25		
7395.099			80	
7395.099				485.25
7395.099	400.25			
7395.099		182.75		
7395.122			80.75	
7395.122				486
7395.122	396			
7395.122		183		
