time	1	2	3	4
7305.453			101	
7305.453				506
7305.453		211		
7305.453	379.25			
7305.48			101	
7305.48				505.5
7305.48		211.5		
7305.48	375			
7305.505			100.25	
7305.505				505
7305.505		211.75		
7305.505	372.25			
7305.529			100	
7305.529				504.5
7305.529		212.25		
7305.529	370			
7305.555			100	
7305.555				504.5
7305.555		212.25		
7305.555	370			
7305.583			99.25	
7305.583				504.25
7305.583		212		
7305.583	369.25			
7305.608			98.75	
7305.608				503.5
7305.608		212		
7305.608	370			
7305.636			97.75	
7305.636				502.5
7305.636		212		
7305.636	371.25			
7305.662			96.75	
7305.662				501.75
7305.662		211.5		
7305.662	373.5			
7305.687			96.75	
7305.687				501.75
7305.687		211.5		
7305.687	373.5			
7305.715			96	
7305.715				501
7305.715		211		
7305.715	377			
7305.744			94.75	
7305.744				500
7305.744		210		
7305.744	381.25			
7305.767			94	
7305.767				499
7305.767		209		
7305.767	386			
7305.791			94	
7305.791				499
7305.791		209		
7305.791	386			
7305.816			93	
7305.816				498
7305.816	391.25			
7305.843			91.75	
7305.843				497
7305.843		206.25		
7305.843	396.75			
7305.866			90.75	
7305.866				496.25
7305.866	402.5			
7305.891			90.75	
7305.891				496.25
7305.891	402.5			
7305.915			90	
7305.915				495.5
7305.915	407.5			
7305.915		202.75		
7305.936			89	
7305.936				494.5
7305.936	412.25			
7305.959			88.25	
7305.959				493.75
7305.959	416.75			
7305.959		199		
7305.994			87.25	
7305.994				493
7305.994	419.5			
7306.015			87.25	
7306.015				493
7306.015	419.5			
7306.037			86.75	
7306.037				492
7306.037	422.5			
7306.037		194.75		
7306.06			86	
7306.06				491.25
7306.06	424.25			
7306.06		192.75		
7306.084			86	
7306.084				491.25
7306.084	424.25			
7306.084		192.75		
7306.107			85.5	
7306.107				490.75
7306.107	424.25			
7306.107		191		
7306.136			84.75	
7306.136				490
7306.136	423.25			
7306.136		189.5		
7306.162			84	
7306.162				489.75
7306.162	422			
7306.162		187.75		
7306.185			84	
7306.185				489.75
7306.185	422			
7306.185		187.75		
7306.208			83.75	
7306.208				489
7306.208	418.75			
7306.208		186.5		
7306.231			83.25	
7306.231				488.5
7306.231	414.75			
7306.231		185.5		
7306.256			82.5	
7306.256				488.5
7306.256	409.75			
7306.256		184.75		
7306.289			82.5	
7306.289				488.5
7306.289	409.75			
7306.289		184.75		
7306.322			81.75	
7306.322				487.75
7306.322	404.25			
7306.322		183.75		
7306.346			81.75	
7306.346				487.5
7306.346	398			
7306.346		183.5		
7306.374			81	
7306.374				487
7306.374	391.75			
7306.374		183.5		
7306.4			80.75	
7306.4				486.5
7306.4		183.5		
7306.4	385			
7306.421			80.75	
7306.421				486.5
7306.421		183.5		
7306.421	385			
7306.448			80	
7306.448				486
7306.448		184.25		
7306.448	378.5			
7306.475			79.75	
7306.475				485.5
7306.475		184.5		
7306.475	372.5			
7306.499			79.25	
7306.499				484.75
7306.499		185.75		
7306.499	366.5			
7306.523			79.25	
7306.523				484.75
7306.523		185.75		
7306.523	366.5			
7306.551			78.25	
7306.551				484
7306.551		186.5		
7306.551	361.25			
7306.575			78	
7306.575				483.5
7306.575		187.5		
7306.575	356.75			
7306.598			76.75	
7306.598				482.75
7306.598		188.5		
7306.598	353.5			
7306.619			76.75	
7306.619				482.75
7306.619		188.5		
7306.619	353.5			
7306.643			76.5	
7306.643				482
7306.643		189.75		
7306.643	351			
7306.664			75.5	
7306.664				481
7306.664		190.25		
7306.664	349.5			
7306.689			75.5	
7306.689				481
7306.689		190.25		
7306.689	349.5			
7306.711			74.75	
7306.711				480.5
7306.711	349.25			
7306.74			74	
7306.74				480
7306.74		192		
7306.74	350			
7306.763			73.25	
7306.763				479.25
7306.763	352.25			
7306.789			73.25	
7306.789				479.25
7306.789	352.25			
7306.814			72.5	
7306.814				478.5
7306.814	354.75			
7306.845			72	
7306.845				478.25
7306.845		191.75		
7306.845	358.75			
7306.869			71.25	
7306.869				477.5
7306.869		191		
7306.869	363			
7306.899			71	
7306.899				477
7306.899		190		
7306.899	367.75			
7306.927			70.25	
7306.927				476.25
7306.927	373			
7306.948			70.25	
7306.948				476.25
7306.948	373			
7306.976			69.75	
7306.976				476
7306.976		187.5		
7306.976	378.5			
7307.003			69.25	
7307.003				475.5
7307.003	384			
7307.003		186		
7307.034			69	
7307.034				475
7307.034	389.25			
7307.034		184.25		
7307.063			68.75	
7307.063				475
7307.063	393.75			
7307.063		181.75		
7307.086			68.75	
7307.086				475
7307.086	393.75			
7307.086		181.75		
7307.108			68.25	
7307.108				474.75
7307.108	397.75			
7307.108		179.75		
7307.128			68	
7307.128				474.75
7307.128	401.25			
7307.128		177.5		
7307.164			68	
7307.164				474
7307.164	404			
7307.164		175.25		
7307.187			68	
7307.187				474
7307.187	404			
7307.187		175.25		
7307.215			68.25	
7307.215				474.5
7307.215	405.25			
7307.215		173.5		
7307.243			68.5	
7307.243				474.75
7307.243	406.25			
7307.243		171.75		
7307.266			68.5	
7307.266				475
7307.266	405.5			
7307.266		170.5		
7307.29			68.5	
7307.29				475
7307.29	405.5			
7307.29		170.5		
7307.317			69	
7307.317				475
7307.317	404			
7307.317		169.5		
7307.343			69.5	
7307.343				475.75
7307.343	401.75			
7307.343		168.5		
7307.37			69.75	
7307.37				476
7307.37	398.75			
7307.37		168.25		
7307.39			69.75	
7307.39				476
7307.39	398.75			
7307.39		168.25		
7307.414			70	
7307.414				476.25
7307.414	394.75			
7307.414		168		
7307.435			71	
7307.435				477
7307.435	390.5			
7307.435		168.5		
7307.462			71.25	
7307.462				477.25
7307.462	385.75			
7307.462		169.5		
7307.484			71.25	
7307.484				477.25
7307.484	385.75			
7307.484		169.5		
7307.511			72	
7307.511				478
7307.511	380.5			
7307.511		171		
7307.536			72.5	
7307.536				478.25
7307.536	375.25			
7307.536		172.75		
7307.559			73	
7307.559				479
7307.559	370.5			
7307.559		174.75		
7307.584			73	
7307.584				479
7307.584	370.5			
7307.584		174.75		
7307.61			73.75	
7307.61				479.75
7307.61		177.75		
7307.61	366.25			
7307.633			74.75	
7307.633				480.5
7307.633		180		
7307.633	361.75			
7307.658			75	
7307.658				481
7307.658		183		
7307.658	358.5			
7307.678			75	
7307.678				481
7307.678		183		
7307.678	358.5			
7307.7			75.75	
7307.7				481.75
7307.7		186		
7307.7	355.75			
7307.724			76.5	
7307.724				482.25
7307.724		189.25		
7307.724	354			
7307.75			76.5	
7307.75				482.25
7307.75		189.25		
7307.75	354			
7307.775			77.25	
7307.775				483.25
7307.775		192		
7307.775	353.5			
7307.798			77.75	
7307.798				483.75
7307.798		195		
7307.798	354			
7307.819			77.75	
7307.819				483.75
7307.819		195		
7307.819	354			
7307.846			78.25	
7307.846				484
7307.846		197.25		
7307.846	355.25			
7307.867			79	
7307.867				484.5
7307.867		200		
7307.867	357.5			
7307.897			79.25	
7307.897				484.75
7307.897		201.75		
7307.897	361.25			
7307.921			79.25	
7307.921				484.75
7307.921		201.75		
7307.921	361.25			
7307.947			80	
7307.947				485
7307.947		203.5		
7307.947	365.5			
7307.973			80	
