time	1	2	3	4
1134.715			113	
1134.715				539.75
1134.715		221.25		
1134.715	421			
1134.761			109.5	
1134.761				536
1134.761		234.5		
1134.761	432.75			
1134.792			107.5	
1134.792				534
1134.792		240.25		
1134.792	438.5			
1134.825			105.5	
1134.825				532.25
1134.825		246.25		
1134.825	443.75			
1134.866			103.5	
1134.866				530.5
1134.866		250.25		
1134.866	448.25			
1134.892			102	
1134.892				529
1134.892		253.75		
1134.892	452.25			
1134.926			100.25	
1134.926				527
1134.926		256		
1134.926	454.25			
1134.965			98.75	
1134.965				525.25
1134.965		256.5		
1134.965	455.75			
1134.995			96.75	
1134.995				524
1134.995		256		
1134.995	455			
1135.021			95.25	
1135.021				522
1135.021		253.5		
1135.021	453.25			
1135.051			93.75	
1135.051				521
1135.051		250		
1135.051	450.25			
1135.072			93.75	
1135.072				521
1135.072		250		
1135.072	450.25			
1135.1			92.5	
1135.1				520
1135.1		244.75		
1135.1	446.25			
1135.129			91.25	
1135.129				518
1135.129		238.5		
1135.129	441			
1135.153			90	
1135.153				517.25
1135.153	434.25			
1135.153		231.25		
1135.188			89	
1135.188				516.5
1135.188	427			
1135.188		223		
1135.219			88.5	
1135.219				516
1135.219	419.75			
1135.219		214		
1135.251			87.5	
1135.251				514.75
1135.251	411.25			
1135.251		204.5		
1135.284			87.25	
1135.284				514.75
1135.284	403.5			
1135.284		194.75		
1135.331			86.5	
1135.331				514
1135.331	395.25			
1135.331		185.75		
1135.355			86.5	
1135.355				514
1135.355	387.25			
1135.355		177.25		
1135.384			85.75	
1135.384				513.25
1135.384	379.75			
1135.384		169		
1135.406			85.5	
1135.406				512.75
1135.406	374			
1135.406		162.5		
1135.432			85.5	
1135.432				512.75
1135.432	374			
1135.432		162.5		
1135.469			84.5	
1135.469				512
1135.469	368.5			
1135.469		157.25		
1135.5			84.25	
1135.5				512
1135.5	364.75			
1135.5		153.5		
1135.53			83.5	
1135.53				511
1135.53	362			
1135.53		151.25		
1135.553			82.5	
1135.553				509.75
1135.553	360.75			
1135.553		150.75		
1135.582			82	
1135.582				509.25
1135.582	361			
1135.582		152		
1135.611			80.5	
1135.611				508.25
1135.611	362.25			
1135.611		154.5		
1135.639			79.75	
1135.639				506.75
1135.639	365.25			
1135.639		159		
1135.668			79.75	
1135.668				506.75
1135.668	365.25			
1135.668		159		
1135.695			78.25	
1135.695				506
1135.695		164.25		
1135.695	369.25			
1135.728			77.5	
1135.728				505
1135.728		170.5		
1135.728	374			
1135.758			76.5	
1135.758				504
1135.758		178.25		
1135.758	379.75			
1135.782			75	
1135.782				503
1135.782		185.25		
1135.782	386.5			
1135.813			73.25	
1135.813				501.25
1135.813		193.25		
1135.813	393.25			
1135.839			72.5	
1135.839				500
1135.839		201.25		
1135.839	400			
1135.868			72.5	
1135.868				500
1135.868		201.25		
1135.868	400			
1135.897			70.75	
1135.897				499
1135.897		208.5		
1135.897	406.5			
1135.931			69.5	
1135.931				497.75
1135.931		214.5		
1135.931	413			
1135.953			68.25	
1135.953				496.5
1135.953		220.25		
1135.953	418.25			
1135.984			67.25	
1135.984				496
1135.984		225		
1135.984	422.5			
1136.007			66.5	
1136.007				495
1136.007		227.75		
1136.007	425.5			
1136.033			66.5	
1136.033				495
1136.033		227.75		
1136.033	425.5			
1136.069			66	
1136.069				494
1136.069		229.5		
1136.069	427.25			
1136.091			65.5	
1136.091				493.75
1136.091		229.5		
1136.091	427.75			
1136.113			65.5	
1136.113				493.75
1136.113		228		
1136.113	427.25			
1136.142			65.25	
1136.142				493.25
1136.142		225		
1136.142	424.75			
1136.172			65.25	
1136.172				493.25
1136.172		225		
1136.172	424.75			
1136.199			65	
1136.199				493
1136.199		220.5		
1136.199	421.5			
1136.225			65.25	
1136.225				493.5
1136.225	417			
1136.225		215		
1136.252			66	
1136.252				493.75
1136.252	411.5			
1136.252		208.25		
1136.28			66.25	
1136.28				494.5
1136.28	405.5			
1136.28		200.25		
1136.314			66.75	
1136.314				495
1136.314	398.75			
1136.314		192.5		
1136.347			67.25	
1136.347				496
1136.347	391.75			
1136.347		184		
1136.387			68.25	
1136.387				496.5
1136.387	384.75			
1136.387		175.75		
1136.408			68.5	
1136.408				497
1136.408	377.75			
1136.408		167.5		
1136.44			68.5	
1136.44				497
1136.44	377.75			
1136.44		167.5		
1136.482			70.5	
1136.482				497.75
1136.482	365.5			
1136.482		154		
1136.503			70.5	
1136.503				497.75
1136.503	365.5			
1136.503		154		
1136.529			71.25	
1136.529				499
1136.529	360.75			
1136.529		149		
1136.553			71.5	
1136.553				499.5
1136.553	357			
1136.583			72	
1136.583				499.75
1136.583	354.5			
1136.583	354.25			
1136.611			72	
1136.611				500
1136.611	353			
1136.638			72.5	
1136.638				500
1136.638	353			
1136.67			72.5	
1136.67				500
1136.67	353			
1136.698			72.5	
1136.698				499.75
1136.698	354.75			
1136.698	354.75			
1136.726			72.25	
1136.726				500
1136.726	357.5			
1136.726		149.25		
1136.756			72.25	
1136.756				500
1136.756		154.5		
1136.756	361.25			
1136.786			71.5	
1136.786				499.5
1136.786		161.25		
1136.786	366.75			
1136.813			70.75	
1136.813				499
1136.813		168.5		
1136.813	372.5			
1136.84			70.5	
1136.84				498.5
1136.84		177.25		
1136.84	379.75			
1136.874			70.5	
1136.874				498.5
1136.874		177.25		
1136.874	379.75			
1136.899			70	
1136.899				498
1136.899		185.75		
1136.899	386.75			
1136.927			69.5	
1136.927				497.75
1136.927		194		
1136.927	394			
1136.962			68.75	
1136.962				497
1136.962		202.25		
1136.962	401			
1136.991			68.25	
1136.991				496.75
1136.991		210.25		
1136.991	408			
1137.017			68.25	
1137.017				496.75
1137.017		217		
1137.017	414.25			
1137.05			68	
1137.05				496.25
1137.05		222.75		
1137.05	420			
1137.08			68.25	
1137.08				496
1137.08		227		
1137.08	424			
1137.109			68.25	
1137.109				496.25
1137.109		230.5		
1137.109	427.25			
1137.137			68.25	
1137.137				496.25
1137.137		230.5		
1137.137	427.25			
1137.167			68.5	
1137.167				496.75
1137.167		232.5		
1137.167	429			
1137.195			69.25	
1137.195				497.25
1137.195		232.5		
1137.195	429.25			
1137.221			69.5	
1137.221				498
1137.221		231		
1137.221	428.75			
1137.248			70.25	
1137.248				499
1137.248		228.25		
1137.248	426.75			
1137.277			71.5	
1137.277				499.75
1137.277	424			
1137.277		224.25		
1137.305			71.5	
1137.305				499.75
1137.305	424			
1137.305		224.25		
1137.334			72.25	
1137.334				500.75
1137.334	420			
1137.334		218.75		
1137.359			73.5	
1137.359				501.75
1137.359	415			
1137.359		212.5		
1137.388			74.75	
1137.388				503
1137.388	409.75			
1137.388		205.5		
1137.418			76.25	
1137.418				504
1137.418	403.75			
1137.418		198		
1137.445			77.25	
1137.445				505.25
1137.445	397.75			
1137.445		190.75		
1137.473			77.25	
1137.473				505.25
1137.473	397.75			
1137.473		190.75		
1137.501			79	
1137.501				506.25
1137.501	391.25			
1137.501		183		
1137.526			80.25	
1137.526				507.75
1137.526	385.5			
1137.526		176.5		
1137.56			81.5	
1137.56				509
1137.56	380.25			
1137.56		170.25		
1137.591			82.75	
1137.591				510.25
1137.591	375.75			
