time	1	2	3	4
153.815	300	300	158.25	
153.815	300	300		601.5
153.845	300	300	157.75	
153.845	300	300		600.75
153.879	300	300	156.5	
153.879	300	300		599.5
153.924	300	300	155.25	
153.924	300	300		598.25
153.949	300	300	154	
153.949	300	300	153.75	
153.949	300	300		596.75
153.979	300	300	152.5	
153.979	300	300		595.5
154.012	300	300	151.25	
154.012	300	300		593.75
154.047	300	300	149.5	
154.047	300	300	149.5	
154.047	300	300		592
154.08	300	300	147.5	
154.08	300	300		590.75
154.114	300	300	146	
154.114	300	300		589
154.15	300	300	144	
154.15	300	300		587
154.184	300	300	142	
154.184	300	300		585.25
154.217	300	300	140	
154.217	300	300		583.5
154.248	300	300	138	
154.248	300	300		581.5
154.278	300	300	136	
154.278	300	300		579.25
154.314	300	300	134	
154.314	300	300		577.25
154.345	300	300	131.75	
154.345	300	300		575.75
154.378	300	300	130.25	
154.378	300	300		574
154.421	300	300	128.5	
154.421	300	300		572.25
154.454	300	300	127	
154.454	300	300		570.25
154.487	300	300	124.75	
154.487	300	300		568.25
154.513	300	300	123	
154.513	300	300		566.5
154.547	300	300	120.75	
154.547	300	300		564.25
154.58	300	300	119	
154.58	300	300		562.25
154.612	300	300	116.75	
154.612	300	300		560.5
154.657	300	300	114.75	
154.657	300	300		558.25
154.687	300	300	112.75	
154.687	300	300		555.75
154.73	300	300	110.25	
154.73	300	300		553.25
154.755	300	300	107.75	
154.755	300	300		551.5
154.786	300	300	105.75	
154.786	300	300		549.25
154.817	300	300	103.75	
154.817	300	300		547.25
154.85	300	300	102	
154.85	300	300		545
154.88	300	300	99.5	
154.88	300	300		543.25
154.913	300	300	97.25	
154.913	300	300		541.25
154.946	300	300	95.5	
154.946	300	300		539.25
154.99	300	300	94	
154.99	300	300		537.25
155.023	300	300	91.5	
155.023	300	300	92	
155.023	300	300		535.25
155.053	300	300	90	
155.053	300	300	90	
155.053	300	300		533.25
155.084	300	300	88.5	
155.084	300	300		531.5
155.115	300	300	86.75	
155.115	300	300		530
155.146	300	300	84.75	
155.146	300	300	85	
155.146	300	300		528
155.177	300	300	83	
155.177	300	300		526.25
155.221	300	300	81.75	
155.221	300	300		524.75
155.246	300	300	79.75	
155.246	300	300		523.25
155.288	300	300	78	
155.288	300	300	78.25	
155.288	300	300		522
155.322	300	300	76.75	
155.322	300	300		520.25
155.353	300	300	75.25	
155.353	300	300		519
155.381	300	300	74.25	
155.381	300	300		517.25
155.413	300	300	72.75	
155.413	300	300		516
155.444	300	300	71.5	
155.444	300	300		514.75
155.474	300	300	70.5	
155.474	300	300		514
155.51	300	300	68.75	
155.51	300	300	69	
155.51	300	300		512.75
155.54	300	300	68	
155.54	300	300	68	
155.54	300	300		511.75
155.571	300	300	67.5	
155.571	300	300		510.75
155.571	300	300		510.75
155.601	300	300	67	
155.601	300	300		510
155.637	300	300	66.5	
155.637	300	300	66.25	
155.637	300	300		509.5
155.666	300	300	66.5	
155.666	300	300	66.25	
155.666	300	300		509.5
155.703	300	300	65.75	
155.703	300	300		509
155.703	300	300		509
155.73	300	300	65.75	
155.73	300	300		509
155.73	300	300		509
155.77	300	300	65.25	
155.77	300	300	65	
155.77	300	300		509
155.804	300	300	65.75	
155.804	300	300		509
155.838	300	300	66	
155.838	300	300		509.25
155.838	300	300		509.25
155.87	300	300	66	
155.87	300	300		509.25
155.87	300	300		509.25
155.908	300	300	66.75	
155.908	300	300	66.25	
155.908	300	300		509.75
155.938	300	300	66.75	
155.938	300	300		510.25
155.973	300	300	67.75	
155.973	300	300		511
156.004	300	300	68	
156.004	300	300		511.75
156.038	300	300	69	
156.038	300	300		512.75
156.07	300	300	69.75	
156.07	300	300		513.75
156.104	300	300	72	
156.104	300	300		514.75
156.137	300	300	72.75	
156.137	300	300		516
156.17	300	300	73.75	
