time	1	2	3	4
524.835			108.25	
524.835			108.25	
524.835				536
524.835	473.25			
524.835		209		
524.866			108	
524.866				536.25
524.866	481.75			
524.866		212		
524.901			108	
524.901				536.25
524.901	481.75			
524.901		212		
524.933			108.5	
524.933				536.5
524.933	482.25			
524.933		216.5		
524.968			108.75	
524.968				536.75
524.968	480			
524.968		219.5		
525			109	
525			109.25	
525				537.5
525	475.75			
525		222.5		
525.033			110.25	
525.033				538.25
525.033	469.75			
525.033		226		
525.056			110.25	
525.056				538.25
525.056	469.75			
525.056		226		
525.084			111	
525.084			111	
525.084				539
525.084				539.25
525.084		229		
525.084	462.25			
525.114			111.75	
525.114				540
525.114				540
525.114		232		
525.114	453.75			
525.15			112.75	
525.15			112.5	
525.15				541.25
525.15				540.75
525.15		235.75		
525.15	444.25			
525.184			113	
525.184				542.25
525.184		238.5		
525.184	434.75			
525.214			113.75	
525.214				542.75
525.214		241.5		
525.214	425.25			
525.249			114.5	
525.249				543.25
525.249		244		
525.249	415.75			
525.272			115.25	
525.272			115	
525.272				544.5
525.272		246		
525.272	406.75			
525.3			115.5	
525.3				545.25
525.3		247.5		
525.3	398.75			
525.332			116.5	
525.332				545.25
525.332		248.5		
525.332	392.25			
525.366			117	
525.366				546
525.366		249.5		
525.366	387			
525.4			117.25	
525.4				546.25
525.4		249.5		
525.4	383.75			
525.436			117.5	
525.436				546.75
525.436		249.5		
525.436	381.75			
525.466			117.25	
525.466				546.75
525.466				546.5
525.466		248.75		
525.466	382.25			
525.5			117.75	
525.5				547
525.5		247.5		
525.5	384.25			
525.532			117.5	
525.532				547
525.532		245.75		
525.532	388.25			
525.555			117.5	
525.555				547
525.555		245.75		
525.555	388.25			
525.583			117.75	
525.583				546.75
525.583		243.75		
525.583	393.75			
525.618			117.5	
525.618				546.5
525.618		241		
525.618	401			
525.648			117.25	
525.648				546.25
525.648		239		
525.648	409.5			
525.674			116.5	
525.674				546.25
525.674		236		
525.674	418.25			
525.705			116.5	
525.705				545.5
525.705		233.25		
525.705	428			
525.74			116	
525.74				545.25
525.74		230.5		
525.74	438.25			
525.783			116	
525.783				544.5
525.783				544.75
525.783		228.25		
525.783	448			
525.806			115.5	
525.806				544.25
525.806		225.75		
525.806	457.75			
525.838			115.25	
525.838				544.25
525.838				544
525.838		223.75		
525.838	466.5			
525.868			114.75	
525.868				543.5
525.868				543.5
525.868	474			
525.868		221.75		
525.899			114.75	
525.899				543.5
525.899				543.5
525.899	474			
525.899		221.75		
525.931			114.25	
525.931				543
525.931	480.25			
525.931		220.5		
525.966			114	
525.966				542.5
525.966	486.75			
525.966		218.5		
526.003			113.5	
526.003				542.25
526.003	487.5			
526.003		218		
526.042			113.25	
526.042				542.25
526.042				542.25
526.042	486.25			
526.042		218.5		
526.072			113.5	
526.072			113.5	
526.072				542.25
526.072	482.75			
526.072		218.75		
526.101			113.5	
526.101				542.25
526.101	478			
526.101		219.75		
526.132			113.25	
526.132				542
526.132	471.5			
526.132		221.5		
526.159			113.25	
526.159				542
526.159	471.5			
526.159		221.5		
526.192			113.5	
526.192				541.75
526.192				541.5
526.192		223		
526.192	464			
526.22			113	
526.22				542.25
526.22		225		
526.22	455			
526.252			113.5	
526.252				542
526.252		227.25		
526.252	444.75			
526.283			113	
526.283				542.25
526.283		229.25		
526.283	434.75			
526.32			113	
526.32				542
526.32				541.75
526.32		232		
526.32	424.25			
526.354			113	
526.354			112.75	
526.354				541.25
526.354				541.5
526.354		234		
526.354	414.5			
526.382			112.5	
526.382				541.25
526.382		236.5		
526.382	405			
526.406			112.5	
526.406				540.75
526.406		238.5		
526.406	396.75			
526.434			112	
526.434				540.5
526.434		240.5		
526.434	389.5			
526.465			111.25	
526.465				539.5
526.465				539.75
526.465		241.5		
526.465	383.75			
526.493			111.25	
526.493				539.5
526.493				539.75
526.493		241.5		
526.493	383.75			
526.535			109.25	
526.535				538
526.535				537.75
526.535		243		
526.535	376.75			
526.561			109.25	
526.561				538
526.561				537.75
526.561		243		
526.561	376.75			
526.603			107.75	
526.603				536
526.603		242		
526.603	377			
526.632			106.75	
526.632				534.5
526.632				534.75
526.632		241		
526.632	379.5			
526.666			105.75	
526.666			105.75	
526.666				533.25
526.666		239.25		
526.666	383.75			
526.701			104.25	
526.701				532
526.701				532
526.701		236.75		
526.701	389.25			
526.722			104.25	
526.722				532
526.722				532
526.722		236.75		
526.722	389.25			
526.749			103	
526.749				530.75
526.749				531
526.749		234.25		
526.749	395.75			
526.779			101.75	
526.779			101.5	
526.779				529.25
526.779		230.75		
526.779	403.25			
526.812			100	
526.812			100.5	
526.812				527.5
526.812		227		
526.812	411.75			
526.849			98.75	
526.849				526
526.849		223.5		
526.849	420.25			
526.872			97.5	
526.872			97.75	
526.872				524.5
526.872		219		
526.872	428.5			
526.905			96	
526.905			96.25	
526.905				523.5
526.905		215		
526.905	436.5			
526.936			95	
526.936			95	
526.936				522
526.936		210.75		
526.936	443.5			
526.967			93.75	
526.967				520.75
526.967	449.75			
526.967		206.5		
527.003			93	
527.003				519.5
527.003	454.75			
527.003		202.75		
527.032			91.75	
527.032				518.75
527.032	458.25			
527.032		198.75		
527.066			91.25	
527.066			91	
527.066				518.25
527.066	459.75			
527.066		195.75		
527.099			91	
527.099			91	
527.099				517.5
527.099	459.5			
527.099		193		
527.119			91	
527.119			91	
527.119				517.5
527.119	459.5			
527.119		193		
527.149			91	
527.149				517.25
527.149	458			
527.149		190.5		
527.182			90	
527.182				516.5
527.182	455			
527.182		189.25		
527.216			89.75	
527.216			89.75	
527.216				516.5
527.216	450			
527.216		188.25		
527.249			89.75	
527.249				516.25
527.249				516.75
527.249	444			
527.249		188.25		
527.282			89.75	
527.282			89.75	
527.282				516.5
527.282		189		
527.282	436			
527.305			89.75	
527.305				516.25
527.305				516.5
527.305		190		
527.305	428			
527.334			90.25	
527.334				516.75
527.334		191.75		
527.334	419.25			
527.365			90.25	
527.365				517
527.365		194.5		
527.365	409.75			
527.392			90.25	
527.392				517
527.392		194.5		
527.392	409.75			
527.421			90.5	
527.421				517
527.421		197.5		
527.421	400.75			
527.458			90.25	
527.458				517.25
