time	1	2	3	4
463.003			169.25	
463.003				549.25
463.003		288.25		
463.003	435.5			
463.031			169.25	
463.031				549.25
463.031		291.75		
463.031	432.5			
463.07			169.5	
463.07				549.25
463.07		293.5		
463.07	430.25			
463.106			169.25	
463.106				549.25
463.106				549.25
463.106		295		
463.106	429			
463.139			169.5	
463.139				549.25
463.139		295.5		
463.139	429			
463.17			169.25	
463.17				549
463.17		294.5		
463.17	429.5			
463.203			169.5	
463.203				549.5
463.203				549
463.203		293.25		
463.203	430.5			
463.236			169.25	
463.236				549.25
463.236				549
463.236		290.5		
463.236	432.75			
463.259			169.25	
463.259				549.25
463.259				549
463.259		290.5		
463.259	432.75			
463.288			169.5	
463.288				549.25
463.288		287.25		
463.288	436			
463.319			169.25	
463.319				549.5
463.319		283.5		
463.319	439.5			
463.343			169.25	
463.343				549.25
463.343		278.5		
463.343	443.5			
463.371			169	
463.371				549.25
463.371		274		
463.371	448.5			
463.404			169	
463.404				549.25
463.404		268.75		
463.404	453.25			
463.439			169.25	
463.439				549.25
463.439		263		
463.439	458			
463.471			169	
463.471				549.25
463.471		257.75		
463.471	463			
463.495			169	
463.495				549.25
463.495		257.75		
463.495	463			
463.538			169	
463.538				549
463.538		248.5		
463.538	471.5			
463.558			169	
463.558				549
463.558		248.5		
463.558	471.5			
463.587			169	
463.587				549
463.587		245		
463.587	475			
463.616			169.25	
463.616				549
463.616		241.75		
463.616	478			
463.645			169	
463.645				549.25
463.645		239.75		
463.645	480			
463.674			169	
463.674				549
463.674		238.5		
463.674	481.25			
463.702			168.75	
463.702				548.75
463.702		237.75		
463.702	481.25			
463.737			168.75	
463.737				549
463.737		238.75		
463.737	481			
463.77			169	
463.77				549.25
463.77		240.25		
463.77	479.25			
463.803			169.25	
463.803				549
463.803		242.75		
463.803	477			
463.838			168.75	
463.838				549
463.838		246		
463.838	474			
463.87			169	
463.87				549
463.87		250		
463.87	470.5			
463.905			169	
463.905				549
463.905		254.75		
463.905	466.25			
463.937			169	
463.937				549.25
463.937		259.5		
463.937	461.5			
463.97			169	
463.97				549
463.97		264.75		
463.97	456.75			
463.993			169	
463.993				549
463.993		264.75		
463.993	456.75			
464.036			169.5	
464.036				549.25
464.036				549
464.036		275.5		
464.036	447			
464.059			169.5	
464.059				549.25
464.059				549
464.059		275.5		
464.059	447			
464.103			169	
464.103				549.25
464.103		284.5		
464.103	438.5			
464.12			169	
464.12				549.25
464.12		284.5		
464.12	438.5			
464.151			169.5	
464.151				549.25
464.151		288.25		
464.151	435.25			
464.181			169.5	
464.181				549.25
464.181				549
464.181		291.5		
464.181	432			
464.208			169	
464.208				549.25
464.208		293.5		
464.208	430			
464.239			169.25	
464.239				549.25
464.239		294.5		
464.239	429			
464.269			169.25	
464.269				549.25
464.269		295.5		
464.269	428.75			
464.295			169.25	
464.295				549.25
464.295		295.5		
464.295	428.75			
464.322			169.25	
464.322				549.5
464.322		294.5		
464.322	429.5			
464.352			169.5	
464.352				549
464.352		293		
464.352	430.5			
464.389			169.25	
464.389				549.75
464.389		290.25		
464.389	433.25			
464.419			169.5	
464.419				549.25
464.419		287		
464.419	436.25			
464.443			169	
464.443				549.25
464.443		283.25		
464.443	440			
464.473			169.25	
464.473				549.25
464.473		278.5		
464.473	444.25			
464.5			169.25	
464.5				549.25
464.5		273.75		
464.5	448.5			
464.528			169.25	
464.528				549.25
464.528		273.75		
464.528	448.5			
464.554			169	
464.554				549.25
464.554				549
464.554		268.5		
464.554	453.75			
464.587			169.25	
464.587				549.25
464.587		263		
464.587	458.5			
464.62			169	
464.62				549
464.62		258		
464.62	463.25			
464.653			169.25	
464.653				549
464.653		253.25		
464.653	467.5			
464.676			168.75	
464.676				549
464.676				549
464.676		248.75		
464.676	471.75			
464.711			169	
464.711				549
464.711		245		
464.711	475.5			
464.738			169	
464.738				548.75
464.738		241.75		
464.738	478			
464.786			168.75	
464.786				549
464.786		239.75		
464.786	480.25			
464.82			168.75	
464.82				549
464.82		238.75		
464.82	481.25			
464.853			169	
464.853				549.25
464.853		238.75		
464.853	481.25			
464.887			168.75	
464.887				549
464.887		238.75		
464.887	480.75			
464.92			169	
464.92				549
464.92		240.5		
464.92	479.25			
464.953			169	
464.953				549
464.953		243		
464.953	476.75			
464.986			169	
464.986				549
464.986		246.25		
464.986	473.5			
465.01			169	
465.01				549
465.01		250.25		
465.01	469.5			
465.053			169	
465.053				549.25
465.053				549
465.053		254.75		
465.053	465.5			
465.074			169.25	
465.074				549.25
465.074		259.75		
465.074	461			
465.101			169	
465.101				549
465.101		264.75		
465.101	456.5			
465.13			169	
465.13				549
465.13		264.75		
465.13	456.5			
465.157			169	
465.157				549.25
465.157		270		
465.157	451			
465.186			169	
465.186				549.25
465.186		275.5		
465.186	446.75			
465.217			169.25	
465.217				549.25
465.217		280		
465.217	442			
465.253			169.25	
465.253				549.25
465.253		284.25		
465.253	438.25			
465.287			169	
465.287				549.25
465.287		288.25		
465.287	434.5			
465.325			169	
465.325				549
465.325				549
465.325		291		
465.325	431.75			
465.37			169	
465.37				549.25
465.37		294.5		
465.37	429			
465.402			169.5	
465.402				549.25
465.402		294.5		
465.402	428.75			
465.424			169.5	
465.424				549.25
465.424		294.5		
465.424	428.75			
465.452			169.25	
465.452				549.5
465.452		294		
465.452	429.5			
465.485			169.5	
465.485				549.5
465.485		292.5		
465.485	431			
465.51			169.25	
465.51				549.75
465.51		290		
465.51	433.5			
465.541			169.25	
465.541				549.25
465.541				549
465.541		287		
465.541	436.75			
465.569			169.25	
465.569				549.25
465.569		282.75		
465.569	440			
465.603			169.25	
465.603				549.25
465.603		278.5		
465.603	444.5			
465.635			169	
465.635				549
465.635		273.25		
465.635	449			
465.667			169.25	
465.667				549
465.667		268		
465.667	454			
465.705			169	
465.705				549.25
465.705		263		
465.705	459			
465.736			169	
465.736				549
465.736		258		
465.736	464			
465.771			169.25	
465.771				549
465.771		253		
465.771	468.25			
465.806			168.75	
465.806				549
465.806		249		
465.806	472			
465.835			168.75	
465.835				549
465.835		245.25		
465.835	475.5			
465.868			169.25	
465.868				549
465.868		242.25		
465.868	478.25			
465.891			169.25	
465.891				549
465.891		242.25		
465.891	478.25			
465.928			169	
465.928				549
465.928		240		
465.928	480.25			
465.968			168.75	
465.968				549
465.968		238.75		
465.968	481.25			
465.989			168.75	
465.989				549
465.989		238.75		
465.989	481.25			
466.023			169	
466.023				549
466.023		239.5		
466.023	480.75			
466.053			168.75	
466.053				549
466.053		240.75		
466.053	479			
466.085			169.25	
466.085				549.25
466.085		243.25		
466.085	476.75			
466.112			169	
466.112				549
466.112				549
466.112		246.25		
466.112	473.5			
466.148			169.25	
466.148				549.25
466.148		250.5		
